iter	Logloss
0	0.673095115
1	0.6573111017
2	0.6422753354
3	0.6292590189
4	0.6164504463
5	0.6051137247
6	0.5921266975
7	0.5844021291
8	0.5762237313
9	0.5671798279
10	0.5608769705
11	0.55405934
12	0.5465520143
13	0.5415159913
14	0.5368687632
15	0.5314185734
16	0.5268274079
17	0.5230248059
18	0.5193246922
19	0.5161271784
20	0.5128430845
21	0.5100223265
22	0.5077839722
23	0.5052537196
24	0.5030251144
25	0.5001024881
26	0.4973223705
27	0.4955733562
28	0.4937740491
29	0.4914897889
30	0.4899134656
31	0.488527898
32	0.4871093036
33	0.4858822167
34	0.4845811245
35	0.4834763424
36	0.4823822895
37	0.4813889827
38	0.4804673018
39	0.4795986074
40	0.4788443121
41	0.4772619935
42	0.4763527931
43	0.4752309444
44	0.4739673201
45	0.4731413037
46	0.4724591071
47	0.4717323857
48	0.4709926907
49	0.4701146255
50	0.4692886275
51	0.4684963457
52	0.4677306365
53	0.4670499944
54	0.466190176
55	0.4655454378
56	0.4648689484
57	0.4637458259
58	0.4632092755
59	0.4622662421
60	0.4617085215
61	0.4610682744
62	0.4605705752
63	0.4602568401
64	0.4596275576
65	0.4588401557
66	0.4580877829
67	0.4577198949
68	0.4571876245
69	0.4566463897
70	0.456128447
71	0.4555293543
72	0.4551560254
73	0.4545483175
74	0.4540882996
75	0.4538606674
76	0.4531182375
77	0.4525828351
78	0.4522405418
79	0.4516959639
80	0.4511416203
81	0.450276176
82	0.4493371421
83	0.4489299164
84	0.4486415832
85	0.4483412177
86	0.4479630527
87	0.4475351289
88	0.4469173371
89	0.4463753148
90	0.4457361189
91	0.4451826708
92	0.4447980939
93	0.4443988335
94	0.4437817232
95	0.4432017319
96	0.4428538341
97	0.4424562458
98	0.4422034095
99	0.4416708946
100	0.4410443918
101	0.4406344054
102	0.4401963402
103	0.4399234077
104	0.4394129069
105	0.438856399
106	0.438184874
107	0.4379527833
108	0.4375915358
109	0.4372267975
110	0.4366502949
111	0.436451529
112	0.4359734389
113	0.4354925721
114	0.4353347134
115	0.4349761963
116	0.4343962149
117	0.4341807064
118	0.4338418755
119	0.4334333474
120	0.4331548597
121	0.4328121578
122	0.4321298696
123	0.4314577918
124	0.4308886122
125	0.4302159838
126	0.4296935271
127	0.4291498767
128	0.4287489892
129	0.4281597625
130	0.4276385567
131	0.4268219706
132	0.4265460792
133	0.4259219687
134	0.4256192447
135	0.4253710109
136	0.4250296783
137	0.4248426
138	0.4245027175
139	0.4242431537
140	0.4239081607
141	0.4238570369
142	0.4233570816
143	0.4229073213
144	0.4223298468
145	0.4218725097
146	0.4213125625
147	0.4210258036
148	0.4203413835
149	0.4198997831
150	0.4195027776
151	0.4187127815
152	0.4182483748
153	0.4176338306
154	0.4170310051
155	0.4167514998
156	0.4163389857
157	0.416092734
158	0.4160399926
159	0.4154308254
160	0.4150362642
161	0.4148772306
162	0.4145098727
163	0.414085831
164	0.4137245004
165	0.4131750473
166	0.412892416
167	0.4126562758
168	0.4121935223
169	0.4119192969
170	0.4116279574
171	0.4111866195
172	0.4108284632
173	0.4105033339
174	0.4100057445
175	0.4097024822
176	0.409316922
177	0.408905968
178	0.4085130778
179	0.4081633313
180	0.4075097585
181	0.4068876103
182	0.4066836659
183	0.4063435586
184	0.4059589289
185	0.4057407742
186	0.4055020613
187	0.4050395367
188	0.4047392118
189	0.4044653292
190	0.40395032
191	0.4033808991
192	0.4030514593
193	0.402670115
194	0.4022593794
195	0.4017688099
196	0.4012698696
197	0.4008520972
198	0.4005266111
199	0.4001023228
