iter	Passed	Remaining
0	3	767
1	7	699
2	10	682
3	13	656
4	16	653
5	20	651
6	23	640
7	26	636
8	30	639
9	33	634
10	36	635
11	39	625
12	42	616
13	46	611
14	49	609
15	52	603
16	55	599
17	59	596
18	62	594
19	66	595
20	69	593
21	73	591
22	76	587
23	79	585
24	83	582
25	87	582
26	90	580
27	94	579
28	97	575
29	101	575
30	105	574
31	108	571
32	112	569
33	116	568
34	119	565
35	123	561
36	126	557
37	129	553
38	133	549
39	136	544
40	139	540
41	142	537
42	146	533
43	149	529
44	152	524
45	155	521
46	158	517
47	162	513
48	165	509
49	168	506
50	172	502
51	174	498
52	178	493
53	181	490
54	184	485
55	187	482
56	190	478
57	193	474
58	197	471
59	200	467
60	203	464
61	206	460
62	210	457
63	213	453
64	217	451
65	221	448
66	224	446
67	228	443
68	231	440
69	235	436
70	238	433
71	242	431
72	245	427
73	249	424
74	252	421
75	256	418
76	259	415
77	263	412
78	266	408
79	270	405
80	272	401
81	276	397
82	279	393
83	282	390
84	286	387
85	289	383
86	292	380
87	296	377
88	299	374
89	303	370
90	306	366
91	308	362
92	311	358
93	314	355
94	317	351
95	320	347
96	323	343
97	326	339
98	329	336
99	333	333
100	336	329
101	339	325
102	341	321
103	344	318
104	347	314
105	350	310
106	353	307
107	356	303
108	359	300
109	362	296
110	365	292
111	368	289
112	371	285
113	374	282
114	377	279
115	380	275
116	383	272
117	386	268
118	389	265
119	392	261
120	395	258
121	398	254
122	401	251
123	403	247
124	406	244
125	409	240
126	412	237
127	415	233
128	418	230
129	421	227
130	424	223
131	428	220
132	431	217
133	434	213
134	437	210
135	440	207
136	442	203
137	445	200
138	448	197
139	451	193
140	454	190
141	456	186
142	459	183
143	462	179
144	465	176
145	468	173
146	471	169
147	474	166
148	477	163
149	480	160
150	483	156
151	486	153
152	489	150
153	492	147
154	495	143
155	498	140
156	501	137
157	504	134
158	506	130
159	509	127
160	512	124
161	515	120
162	518	117
163	521	114
164	525	111
165	527	108
166	530	104
167	533	101
168	536	98
169	539	95
170	542	92
171	545	88
172	548	85
173	551	82
174	554	79
175	558	76
176	561	72
177	564	69
178	568	66
179	571	63
180	574	60
181	578	57
182	582	54
183	585	50
184	588	47
185	592	44
186	594	41
187	597	38
188	601	35
189	604	31
190	608	28
191	611	25
192	615	22
193	618	19
194	622	15
195	625	12
196	628	9
197	632	6
198	635	3
199	638	0
